movie_id,keyword_id
862,10084
862,6054
862,10364
862,931
862,3289
862,6733
862,8102
862,9823
862,11477
862,9713
862,10159
862,15214
862,33553
862,158141
862,165503
862,170722
862,180523
862,187065
862,242792
862,265589
862,338822
8844,7035
8844,10090
8844,10941
8844,10787
8844,158086
8844,221178
8844,246466
8844,325856
15602,1495
15602,9663
15602,10938
15602,12392
15602,13027
15602,14836
15602,157187
15602,179431
15602,294543
31357,818
31357,14768
31357,15160
31357,251667
31357,257890
31357,266753
31357,325762
31357,325781
31357,325784
31357,338528
31357,338543
11862,5600
11862,1009
11862,970
11862,1599
11862,3725
11862,2246
11862,4995
11862,9663
11862,9714
11862,12670
11862,18011
11862,33358
11862,170521
11862,289211
949,642
949,3713
949,1523
949,703
949,10051
949,9727
949,9812
949,9826
949,10085
949,10726
949,12670
949,15076
949,15363
949,18023
949,33424
949,156121
949,159434
949,167104
949,192261
949,207268
949,214983
949,325766
949,325772
949,325774
949,325778
11860,2072
11860,380
11860,90
11860,4375
11860,5732
11860,5683
11860,9398
11860,9639
11860,10791
11860,33626
11860,164664
11860,165282
11860,169057
11860,179367
11860,199764
11860,211614
11860,220314
11860,237462
11860,240303
11860,243959
11860,305033
11860,324429
45325,818
45325,787
45325,3230
45325,197850
45325,359888
9091,1653
9091,1562
9091,6483
9091,13015
9091,193533
9091,193594
9091,266169
710,2812
710,701
710,769
710,3272
710,1308
710,3268
710,3278
710,3376
710,3531
710,3560
710,3561
710,3562
710,3563
710,193008
9087,1605
9087,840
9087,833
9087,14514
9087,33476
9087,211505
9087,219605
9087,324429
12110,3133
12110,8201
12110,11931
12110,261274
21032,1994
21032,2551
21032,6513
21032,3289
21032,6411
21032,9880
21032,15162
21032,15169
21032,158175
21032,158370
21032,190098
21032,208152
21032,271856
10858,840
10858,521
10858,6086
10858,2946
10858,1228
10858,4240
10858,5565
10858,6165
10858,9376
10858,208992
10858,325763
10858,325796
10858,325797
10858,325799
10858,325804
10858,325806
10858,325819
1408,3799
1408,1454
1408,911
1408,2041
1408,1969
1408,5470
1408,11088
1408,9725
1408,10085
1408,12988
1408,156525
1408,157186
1408,175428
1408,185200
1408,207941
524,726
524,585
524,818
524,383
524,700
524,395
524,1228
524,1812
524,1667
524,5332
524,2150
524,2635
524,6038
524,7336
524,6974
524,10594
524,9826
524,10291
524,10391
524,11211
524,14570
524,18034
524,187023
524,208289
524,311315
524,332598
524,334553
4584,7879
4584,212
4584,548
4584,818
4584,4129
4584,11109
4584,964
4584,2755
4584,4472
4584,10911
4584,15060
4584,156507
4584,156512
4584,159871
4584,165100
4584,165388
4584,192311
4584,207928
4584,217957
4584,227556
4584,238085
4584,243090
4584,244113
4584,274542
4584,285894
4584,307851
4584,307852
4584,307853
5,612
5,613
5,616
5,622
5,2700
5,922
5,9706
5,12670
5,160488
5,171366
5,187056
9273,1930
9273,409
9273,1551
9273,2526
9273,5155
9273,6241
9273,9253
9273,18165
9273,208152
11517,242
11517,380
11517,1552
11517,155735
11517,156120
8012,818
8012,416
8012,395
8012,3149
8012,10594
8012,9826
8012,9935
8012,11578
8012,10391
8012,12094
8012,11061
8012,12396
8012,14964
8012,33879
8012,159608
1710,796
1710,2800
1710,4668
1710,5430
1710,11268
1710,10714
1710,13001
9691,10084
9691,591
9691,2708
9691,977
9691,974
9691,1666
9691,2350
9691,3045
9691,3979
9691,9823
9691,10950
9691,11148
9691,12355
9691,18021
9691,18107
9691,33456
9691,167861
12665,18068
12665,18320
12665,41355
12665,163531
12665,163533
12665,163540
12665,163543
12665,163545
12665,163553
12665,163558
12665,181037
451,922
451,3737
451,30
451,549
451,725
451,3927
451,585
451,6059
451,567
451,699
451,886
451,888
451,7464
451,12670
451,14570
451,15237
451,311315
451,323809
451,325854
16420,931
16420,10181
16420,9713
16420,271033
16420,332062
9263,1228
9263,5248
9263,10683
9263,170521
9263,170533
9263,170539
9263,187056
17015,818
17015,33384
17015,33386
17015,33388
902,10084
902,6054
902,2041
902,1566
902,402
902,4565
902,4484
902,4995
902,10028
902,157955
902,170865
902,204846
37557,2682
37557,5964
37557,10683
37557,11869
37557,15011
37557,18026
37557,41383
37557,41601
37557,173297
37557,214548
37557,222063
37557,257259
9909,6270
9909,387
9909,897
9909,3436
9909,6610
9909,10508
9909,14641
9909,155582
9909,170378
63,1865
63,276
63,222
63,278
63,3800
63,2504
63,1353
63,6255
63,2884
63,2340
63,2885
63,4565
63,1667
63,2043
63,4458
63,4379
63,3546
63,4280
63,4232
63,6162
63,5984
63,4924
63,7325
63,8054
63,11494
63,9856
63,9714
63,10323
63,9890
63,11857
63,12026
63,14673
63,14675
63,14779
63,15106
63,15149
63,17995
63,18029
63,33981
63,156196
63,157171
63,158025
63,158172
63,158254
63,159287
63,160059
63,161868
63,162801
63,188957
63,197582
63,199322
63,210608
63,225219
63,229034
63,236189
63,238332
63,251667
63,256328
63,276775
63,281585
63,309974
63,314730
63,315053
63,321464
63,325787
63,325839
63,355849
9598,4932
9598,3020
9598,4931
9598,905
9598,977
9598,1339
9598,11115
9598,5608
9598,8082
9598,11477
9598,15101
9598,15162
9598,18013
9598,18165
9598,154846
9598,158019
9598,189609
9598,206052
9598,207317
47018,392
47018,437
47018,8997
47018,13065
47018,155870
687,378
687,2122
687,6145
687,570
687,3927
687,6059
687,3012
687,6148
687,745
687,2060
687,2726
687,3441
687,3446
687,2796
687,2300
687,2885
687,1952
687,2501
687,3440
687,3437
687,3442
687,3447
687,3448
687,13001
687,200918
687,261264
687,315323
687,323809
687,324886
687,325780
687,325825
33689,10132
33689,13014
33689,204353
33689,239145
9603,1525
9603,6270
9603,818
9603,6664
9603,7208
9603,10683
9603,10132
9603,11933
9603,13027
9603,18005
9603,34130
9603,187056
9603,233617
9603,248025
9603,258533
9603,323909
34615,818
34615,3644
34615,4106
34615,10093
34615,207883
34615,241927
31174,392
31174,1930
31174,9826
31174,13084
11443,2956
11443,726
11443,447
11443,1543
11443,11436
11443,11254
11443,10051
11443,10594
11443,18231
11443,159643
11443,159660
11443,161307
11443,180507
11443,208992
35196,931
35196,6148
35196,2098
35196,1279
35196,10329
35196,44448
35196,44449
35196,207941
35196,220649
9312,2041
9312,779
9312,1299
9312,83
9312,2343
9312,3289
9312,10292
9312,9649
9312,9820
9312,10278
9312,10821
9312,12380
9312,17977
9312,41645
9312,162846
9312,188955
9312,192913
9312,219404
9312,251513
9312,263377
9312,269233
577,596
577,818
577,1442
577,1523
577,6018
577,11800
577,208477
577,225012
11861,1459
11861,1334
11861,2587
11861,6038
11861,5773
11861,5999
11861,9470
11861,9673
11861,33694
11861,34094
11861,164039
11861,187056
807,3927
807,6149
807,1470
807,4426
807,476
807,6259
807,703
807,5340
807,4142
807,9826
807,10714
807,11001
807,10950
807,13092
